City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Faanui,PF,79.11,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
14,Saraland,US,76.05,scattered clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
17,Ribeira Grande,PT,73.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
21,Santa Cruz Cabralia,BR,71.83,mist,-16.2781,-39.0247,Puerto Princesa Inn
24,Alofi,NU,75.09,clear sky,-19.0595,-169.9187,Taloa Heights
26,Lafiagi,NG,78.49,overcast clouds,8.8667,5.4167,Bus group international
27,Sinnamary,GF,77.49,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
29,Atuona,PF,76.15,light rain,-9.8,-139.0333,Villa Enata
31,Lazaro Cardenas,MX,77.0,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
32,Rikitea,PF,72.19,light rain,-23.1203,-134.9692,People ThankYou
35,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
37,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
38,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Pirineos
39,Hilo,US,74.93,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
46,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
55,Sambava,MG,74.95,scattered clouds,-14.2667,50.1667,Melrose
57,Touros,BR,75.22,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
68,Mogoytuy,RU,78.73,broken clouds,51.2833,114.9167,Gostinitsa
70,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
72,Carnarvon,AU,71.31,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
76,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
77,Isangel,VU,72.66,overcast clouds,-19.55,169.2667,Tanna Lodge
79,Hithadhoo,MV,78.03,heavy intensity rain,-0.6,73.0833,Scoop Guest House
83,Lagoa,PT,72.14,clear sky,39.05,-27.9833,Casa Das Faias
85,Pouebo,NC,70.81,overcast clouds,-20.4,164.5667,RIVÂT LODGE
88,Boa Vista,BR,75.18,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
90,Porto Velho,BR,71.65,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
93,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
99,Balikpapan,ID,79.79,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
102,Acapulco,MX,78.96,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
104,Alyangula,AU,72.5,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
107,Curup,ID,75.52,broken clouds,-3.4667,102.5333,Ayi The Costel
112,Soria,ES,77.52,clear sky,41.6667,-2.6667,Casa Rural Sierra de Inodejo
114,Omboue,GA,78.71,broken clouds,-1.5746,9.2618,Hotel Olako
117,Puerto Del Rosario,ES,73.15,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
123,Excelsior Springs,US,72.3,mist,39.3392,-94.2261,The Elms Hotel & Spa
125,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
128,Dorogobuzh,RU,71.37,overcast clouds,54.915,33.2972,"Gostevoi dom ""BRAVO"""
135,Nkhotakota,MW,76.23,clear sky,-12.9274,34.2961,Sitima Inn
139,Kirakira,SB,78.8,broken clouds,-10.4544,161.9205,SanBiz Lodge
141,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
155,Ocos,GT,79.39,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
156,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
158,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,Le four à pain
159,Margate,GB,72.88,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
160,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
172,Natal,BR,73.62,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
175,Mahonda,TZ,77.11,few clouds,-6.45,39.4667,Karamba Resort
180,Grand-Santi,GF,70.27,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
181,Ponta Delgada,PT,72.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
187,Saint George,US,73.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
195,Caravelas,BR,70.16,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
205,Rangapara,IN,77.58,overcast clouds,26.8167,92.65,Bidhan
206,Lahaina,US,78.8,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
207,Jacareacanga,BR,70.61,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
211,Manaure,CO,79.59,few clouds,11.7751,-72.4445,Hotel Palaaima
216,Pizarro,CO,76.42,light rain,4.9533,-77.366,Hotel Limonar
224,Nouadhibou,MR,73.38,few clouds,20.931,-17.0347,El Medina
231,Halmstad,SE,71.02,scattered clouds,56.6745,12.8568,BEST WESTERN PLUS Grand Hotel
238,Grand Gaube,MU,77.4,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
239,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
245,Antalaha,MG,75.56,broken clouds,-14.9003,50.2788,Hotel Vitasoa
247,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
248,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,hotel la terminal
254,Antiguo Morelos,MX,74.1,clear sky,22.5495,-99.0812,Iglesia La luz del mundo columna y apoyo de la verdad. Batallón antiguo morelos
257,Laguna,US,73.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
259,Hastings,GB,73.98,overcast clouds,50.8552,0.5729,Zanzibar Hotel
264,Podor,MR,76.95,broken clouds,16.6527,-14.9587,Auberge Du Tékrour
278,Karratha,AU,76.14,clear sky,-20.7377,116.8463,ibis Styles Karratha
280,Khani,GE,72.97,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
286,Chernyshevskiy,RU,77.27,few clouds,63.0128,112.4714,Chernyseyskiy
291,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
294,Leshukonskoye,RU,76.75,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
295,Anloga,GH,76.8,overcast clouds,5.7947,0.8973,Pin Drop Hotel
297,Yenagoa,NG,79.29,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
300,Manzhouli,CN,77.54,broken clouds,49.6,117.4333,Angala International Youth Hostel
