,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,82.38,77,100,20.71,overcast clouds
1,La Cruz,MX,23.9167,-106.9,65.8,86,9,0.78,clear sky
2,Acapulco,MX,16.8634,-99.8901,75.02,83,0,6.91,clear sky
3,Butaritari,KI,3.0707,172.7902,81.52,74,99,11.65,overcast clouds
4,Tafo,GH,6.7345,-1.6127,71.58,88,100,2.98,overcast clouds
5,Pundaguitan,PH,6.3711,126.1689,81.93,76,100,4.7,overcast clouds
6,Port Alfred,ZA,-33.5906,26.891,63.18,90,50,1.99,scattered clouds
7,Porterville,US,36.0652,-119.0168,71.02,40,0,0.0,clear sky
8,Saskylakh,RU,71.9167,114.0833,-2.0,94,100,12.03,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,77.99,63,100,9.55,overcast clouds
10,Asfi,MA,32.2994,-9.2372,57.72,85,100,12.48,overcast clouds
11,Broken Hill,AU,-31.95,141.4333,72.3,33,0,2.26,clear sky
12,Albany,US,42.6001,-73.9662,37.02,90,100,3.0,overcast clouds
13,Castro,BR,-24.7911,-50.0119,60.73,99,46,5.17,scattered clouds
14,Ushuaia,AR,-54.8,-68.3,33.75,94,45,5.95,scattered clouds
15,Fortuna,US,40.5982,-124.1573,51.66,83,0,5.75,clear sky
16,Sohag,EG,26.557,31.6948,75.63,15,25,3.89,scattered clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,77.56,91,100,3.0,overcast clouds
18,Bambous Virieux,MU,-20.3428,57.7575,81.21,83,75,12.66,light rain
19,Atuona,PF,-9.8,-139.0333,79.92,73,11,20.36,few clouds
20,Tuktoyaktuk,CA,69.4541,-133.0374,-12.21,95,99,4.94,overcast clouds
21,Jamestown,US,42.097,-79.2353,34.02,64,46,4.0,scattered clouds
22,Barrow,US,71.2906,-156.7887,-5.78,77,0,16.11,haze
23,Margate,GB,51.3813,1.3862,40.87,68,99,5.99,overcast clouds
24,Thompson,CA,55.7435,-97.8558,28.11,94,100,6.35,overcast clouds
25,Bonavista,CA,48.6499,-53.1147,33.46,83,63,19.17,broken clouds
26,Airai,TL,-8.9266,125.4092,74.77,48,10,2.33,clear sky
27,Hobart,AU,-42.8794,147.3294,70.27,71,75,9.22,broken clouds
28,Pevek,RU,69.7008,170.3133,-3.23,86,4,1.79,clear sky
29,Qaanaaq,GL,77.484,-69.3632,10.96,67,90,7.87,overcast clouds
30,Georgetown,MY,5.4112,100.3354,82.33,83,20,5.75,few clouds
31,Dingle,PH,10.9995,122.6711,86.13,65,100,15.14,overcast clouds
32,Hermanus,ZA,-34.4187,19.2345,54.81,85,3,3.49,clear sky
33,Busselton,AU,-33.65,115.3333,70.7,46,11,13.42,few clouds
34,Devonport,AU,-41.1667,146.35,73.09,57,1,9.89,clear sky
35,Tiksi,RU,71.6872,128.8694,7.21,90,100,9.1,overcast clouds
36,Tasiilaq,GL,65.6145,-37.6368,19.56,93,100,8.5,overcast clouds
37,Punta Arenas,CL,-53.15,-70.9167,37.11,86,30,23.0,light rain
38,Faya,SA,18.3851,42.4509,54.12,38,99,2.77,overcast clouds
39,Mitsamiouli,KM,-11.3847,43.2844,81.0,75,10,0.58,light rain
40,Agadez,NE,19.75,10.25,80.56,5,32,4.74,scattered clouds
41,Vaini,TO,-21.2,-175.2,82.56,83,75,5.75,broken clouds
42,Avarua,CK,-21.2078,-159.775,78.85,83,100,2.3,overcast clouds
43,Bose,IT,45.4612,8.0137,42.3,86,99,1.57,overcast clouds
44,Saint George,US,37.1041,-113.5841,70.63,29,0,1.01,clear sky
45,Yellowknife,CA,62.456,-114.3525,21.72,76,40,15.01,scattered clouds
