,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,79.12,85,40,16.11,scattered clouds
1,Katsuura,JP,35.1333,140.3,82.92,82,2,14.79,clear sky
2,Jamestown,US,42.097,-79.2353,62.71,75,0,3.44,fog
3,Shache,CN,38.4167,77.2406,93.07,17,100,11.72,overcast clouds
4,Bredasdorp,ZA,-34.5322,20.0403,55.26,53,87,5.39,overcast clouds
5,Kaitangata,NZ,-46.2817,169.8464,40.68,92,78,7.45,broken clouds
6,Oranjemund,NA,-28.55,16.4333,57.63,51,4,11.56,clear sky
7,Paamiut,GL,61.994,-49.6678,42.78,92,97,7.36,overcast clouds
8,Bluff,NZ,-46.6,168.3333,45.75,78,21,11.25,few clouds
9,Providencia,MX,28.7167,-111.5833,83.21,84,98,7.0,overcast clouds
10,Faanui,PF,-16.4833,-151.75,79.11,69,7,24.07,clear sky
11,Zbarazh,UA,49.6636,25.7762,69.73,70,100,9.6,overcast clouds
12,Arraial Do Cabo,BR,-22.9661,-42.0278,66.06,64,1,8.63,clear sky
13,Labuhan,ID,-6.8844,112.2051,82.89,68,82,10.89,broken clouds
14,Saraland,US,30.8207,-88.0706,76.05,92,29,2.06,scattered clouds
15,Hobart,AU,-42.8794,147.3294,53.46,65,75,14.97,broken clouds
16,Lompoc,US,34.6391,-120.4579,66.34,95,0,4.61,mist
17,Ribeira Grande,PT,38.5167,-28.7,73.8,78,20,3.44,few clouds
18,Kismayo,SO,-0.3582,42.5454,80.19,70,32,15.82,light rain
19,Constitucion,CL,-35.3333,-72.4167,48.79,89,35,1.83,scattered clouds
20,Ushuaia,AR,-54.8,-68.3,40.66,81,40,27.63,light rain
21,Santa Cruz Cabralia,BR,-16.2781,-39.0247,71.83,94,40,4.61,mist
22,Cape Town,ZA,-33.9258,18.4232,57.38,71,20,5.99,few clouds
23,Albany,US,42.6001,-73.9662,61.92,88,3,3.04,clear sky
24,Alofi,NU,-19.0595,-169.9187,75.09,88,4,5.75,clear sky
25,Palmer,US,42.1584,-72.3287,64.92,86,0,4.61,clear sky
26,Lafiagi,NG,8.8667,5.4167,78.49,81,100,7.65,overcast clouds
27,Sinnamary,GF,5.3833,-52.95,77.49,83,13,5.26,few clouds
28,Chuy,UY,-33.6971,-53.4616,46.06,81,92,1.41,light rain
29,Atuona,PF,-9.8,-139.0333,76.15,80,19,11.68,light rain
30,Castro,BR,-24.7911,-50.0119,41.77,89,3,2.8,clear sky
31,Lazaro Cardenas,MX,17.9583,-102.2,77.0,82,92,4.5,overcast clouds
32,Rikitea,PF,-23.1203,-134.9692,72.19,76,28,18.84,light rain
33,Rochester,US,43.1548,-77.6156,64.11,91,0,5.75,clear sky
34,Kodiak,US,57.79,-152.4072,56.71,88,100,3.44,overcast clouds
35,Vaini,TO,-21.2,-175.2,75.36,94,20,5.75,few clouds
36,Mataura,NZ,-46.1927,168.8643,39.15,98,61,3.44,broken clouds
