City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-03-31 20:17:20,-46.6,168.3333,48.63,64,100,8.9
1,Ribeira Grande,PT,2022-03-31 20:17:17,38.5167,-28.7,63.0,88,20,16.11
2,Carnarvon,AU,2022-03-31 20:17:21,-24.8667,113.6333,68.07,100,75,21.85
3,Dudinka,RU,2022-03-31 20:17:22,69.4058,86.1778,20.62,97,100,1.28
4,Mahebourg,MU,2022-03-31 20:17:22,-20.4081,57.7,79.25,73,20,13.8
5,La Libertad,EC,2022-03-31 20:17:23,-2.2333,-80.9,83.86,74,0,13.8
6,Nikolskoye,RU,2022-03-31 20:17:24,59.7035,30.7861,25.72,96,15,1.97
7,Ushuaia,AR,2022-03-31 20:15:21,-54.8,-68.3,53.26,47,20,13.8
8,Khatanga,RU,2022-03-31 20:17:25,71.9667,102.5,-6.47,100,81,4.88
9,Qaanaaq,GL,2022-03-31 20:17:26,77.484,-69.3632,25.09,71,100,4.99
10,Zhangye,CN,2022-03-31 20:17:27,38.9342,100.4517,41.59,34,12,3.76
11,Kahului,US,2022-03-31 20:17:27,20.8947,-156.47,80.96,70,40,20.71
12,Port Elizabeth,ZA,2022-03-31 20:17:28,-33.918,25.5701,66.49,80,100,12.66
13,Elliot,ZA,2022-03-31 20:17:28,-31.3333,27.85,58.1,99,100,2.19
14,Nawa,IN,2022-03-31 20:17:29,27.0167,75.0,78.12,8,0,8.41
15,Corner Brook,CA,2022-03-31 20:17:29,48.9667,-57.9484,35.76,84,81,9.19
16,Coquimbo,CL,2022-03-31 20:16:40,-29.9533,-71.3436,60.53,77,0,11.5
17,Kampene,CD,2022-03-31 20:17:30,-3.6,26.6667,68.2,95,98,0.54
18,Hermanus,ZA,2022-03-31 20:17:31,-34.4187,19.2345,62.8,69,93,9.4
19,Barrow,US,2022-03-31 20:17:31,71.2906,-156.7887,-11.18,70,0,20.71
20,Namibe,AO,2022-03-31 20:17:32,-15.1961,12.1522,72.54,76,19,9.15
21,Inhambane,MZ,2022-03-31 20:17:32,-23.865,35.3833,76.73,86,0,8.93
22,Idah,NG,2022-03-31 20:17:33,7.1065,6.7342,89.46,46,96,7.34
23,Atuona,PF,2022-03-31 20:17:33,-9.8,-139.0333,78.55,73,7,8.23
24,Norman Wells,CA,2022-03-31 20:17:34,65.282,-126.8329,-11.16,53,75,18.41
25,Rocha,UY,2022-03-31 20:17:34,-34.4833,-54.3333,59.67,62,97,10.67
26,Rikitea,PF,2022-03-31 20:17:35,-23.1203,-134.9692,78.04,66,75,15.03
27,Findlay,US,2022-03-31 20:17:35,41.0442,-83.6499,45.25,65,100,21.85
28,Richards Bay,ZA,2022-03-31 20:17:36,-28.783,32.0377,73.62,87,0,8.16
29,Kodinsk,RU,2022-03-31 20:17:36,58.6881,99.1844,34.29,91,100,12.82
30,Tiarei,PF,2022-03-31 20:17:37,-17.5333,-149.3333,84.22,69,47,12.84
31,Marrakesh,MA,2022-03-31 20:15:44,31.6315,-8.0083,64.47,55,40,10.36
32,Rajgurunagar,IN,2022-03-31 20:17:37,18.8667,73.9,77.34,23,2,7.63
33,Oruro,BO,2022-03-31 20:17:38,-17.9833,-67.15,60.57,29,100,1.54
34,Burgeo,CA,2022-03-31 20:17:38,47.6167,-57.6152,35.38,78,15,16.8
35,Busselton,AU,2022-03-31 20:17:39,-33.65,115.3333,69.67,71,1,10.92
36,Nirsa,IN,2022-03-31 20:17:39,23.7833,86.7167,77.79,78,0,5.68
37,Isangel,VU,2022-03-31 20:17:40,-19.55,169.2667,80.78,86,92,5.61
38,Sakakah,SA,2022-03-31 20:17:40,29.9697,40.2064,71.17,10,16,6.22
39,Vaini,TO,2022-03-31 20:17:41,-21.2,-175.2,80.78,77,100,8.25
40,Hasaki,JP,2022-03-31 20:17:41,35.7333,140.8333,39.6,93,100,28.7
41,Udachnyy,RU,2022-03-31 20:17:42,66.4167,112.4,17.46,95,100,7.58
42,Tessalit,ML,2022-03-31 20:17:42,20.1986,1.0114,86.79,7,94,8.81
43,Port Alfred,ZA,2022-03-31 20:17:43,-33.5906,26.891,64.18,93,100,6.73
44,Sitka,US,2022-03-31 20:17:43,57.0531,-135.33,44.49,65,100,4.61
45,Tuktoyaktuk,CA,2022-03-31 20:17:44,69.4541,-133.0374,-18.4,69,20,10.36
46,Albany,US,2022-03-31 20:17:13,42.6001,-73.9662,56.66,86,100,7.2
47,Tiksi,RU,2022-03-31 20:18:44,71.6872,128.8694,3.13,98,100,6.31
48,Ponta Do Sol,PT,2022-03-31 20:18:45,32.6667,-17.1,65.01,81,59,5.35
49,West Bay,KY,2022-03-31 20:18:45,19.3667,-81.4167,85.05,70,20,11.5
50,Bac Lieu,VN,2022-03-31 20:18:46,9.285,105.7244,81.5,75,100,3.06
51,Mareeba,AU,2022-03-31 20:18:46,-17.0,145.4333,64.44,88,4,1.97
52,Saint-Augustin,CA,2022-03-31 20:18:47,51.226,-58.6502,35.13,93,10,10.69
53,Hilo,US,2022-03-31 20:18:47,19.7297,-155.09,80.33,73,0,6.91
54,Broken Hill,AU,2022-03-31 20:18:48,-31.95,141.4333,57.4,57,0,19.39
55,Cherskiy,RU,2022-03-31 20:18:48,68.75,161.3,-16.65,100,100,3.8
56,Cape Town,ZA,2022-03-31 20:18:12,-33.9258,18.4232,63.27,73,0,18.41
57,Castro,BR,2022-03-31 20:18:49,-24.7911,-50.0119,57.18,98,100,7.29
58,Aykhal,RU,2022-03-31 20:18:50,66.0,111.5,9.82,100,99,7.38
59,Mataura,NZ,2022-03-31 20:18:50,-46.1927,168.8643,44.33,85,100,2.26
60,Bethel,US,2022-03-31 20:16:10,41.3712,-73.414,65.25,74,75,9.22
61,Jamestown,US,2022-03-31 20:14:45,42.097,-79.2353,52.02,61,100,12.66
62,Gardenstown,GB,2022-03-31 20:18:51,57.671,-2.336,36.81,73,55,14.79
63,Faanui,PF,2022-03-31 20:18:51,-16.4833,-151.75,82.31,66,15,14.23
64,Magadan,RU,2022-03-31 20:18:52,59.5667,150.8,-5.48,83,66,7.54
65,Mar Del Plata,AR,2022-03-31 20:18:52,-38.0023,-57.5575,60.87,72,40,9.22
66,Paramonga,PE,2022-03-31 20:18:53,-10.6667,-77.8333,73.45,76,22,10.92
67,Dikson,RU,2022-03-31 20:18:53,73.5069,80.5464,4.78,93,20,8.57
68,Puli,TW,2022-03-31 20:18:54,23.9664,120.9695,65.21,90,11,2.51
69,Yellowknife,CA,2022-03-31 20:18:54,62.456,-114.3525,19.42,78,100,14.97
70,Iquique,CL,2022-03-31 20:16:12,-20.2208,-70.1431,68.04,66,8,4.9
71,Chokurdakh,RU,2022-03-31 20:18:55,70.6333,147.9167,-32.37,100,100,3.4
72,Henties Bay,NA,2022-03-31 20:18:55,-22.116,14.2845,63.45,82,0,9.22
73,Punta Arenas,CL,2022-03-31 20:18:56,-53.15,-70.9167,53.71,50,75,31.07
74,Kapaa,US,2022-03-31 20:18:56,22.0752,-159.319,78.78,86,40,14.97
75,Tuatapere,NZ,2022-03-31 20:18:57,-46.1333,167.6833,47.05,87,100,3.89
76,Touros,BR,2022-03-31 20:18:57,-5.1989,-35.4608,81.63,74,100,12.55
77,Oriximina,BR,2022-03-31 20:18:57,-1.7656,-55.8661,78.66,83,92,3.51
78,Xique-Xique,BR,2022-03-31 20:18:58,-10.8218,-42.7263,88.72,44,93,3.76
79,Corinth,GR,2022-03-31 20:18:58,37.9407,22.9573,59.41,85,73,9.35
80,Montlucon,FR,2022-03-31 20:18:59,46.3333,2.6,36.7,94,100,1.01
81,Luganville,VU,2022-03-31 20:18:59,-15.5333,167.1667,80.13,86,100,1.52
82,Bredasdorp,ZA,2022-03-31 20:19:00,-34.5322,20.0403,62.42,63,74,5.68
83,Luderitz,NA,2022-03-31 20:19:00,-26.6481,15.1594,62.98,70,0,19.93
84,Nsanje,MW,2022-03-31 20:19:01,-16.92,35.262,72.21,99,24,3.0
85,Skagen,DK,2022-03-31 20:19:01,57.7209,10.5839,38.71,51,5,11.01
86,Arraial Do Cabo,BR,2022-03-31 20:19:02,-22.9661,-42.0278,78.76,83,75,12.66
87,Souillac,MU,2022-03-31 20:19:03,-20.5167,57.5167,79.18,73,20,13.8
88,Indian Head,US,2022-03-31 20:19:03,38.6001,-77.1622,72.91,78,100,15.99
89,Chara,RU,2022-03-31 20:19:04,56.9064,118.2631,9.32,77,100,1.43
90,Cayenne,GF,2022-03-31 20:19:04,4.9333,-52.3333,84.24,4,75,9.22
91,Inuvik,CA,2022-03-31 20:19:05,68.3499,-133.7218,-13.94,58,20,8.05
92,Chuy,UY,2022-03-31 20:19:06,-33.6971,-53.4616,61.32,61,63,11.68
93,Two Rivers,US,2022-03-31 20:19:06,44.1539,-87.5693,34.99,81,100,12.66
94,Belaya Gora,RU,2022-03-31 20:19:07,68.5333,146.4167,-27.44,100,98,1.9
95,Bambous Virieux,MU,2022-03-31 20:20:07,-20.3428,57.7575,79.21,73,20,13.8
96,Xiaoweizhai,CN,2022-03-31 20:20:08,26.1903,107.5125,48.02,89,100,10.83
97,Avarua,CK,2022-03-31 20:20:09,-21.2078,-159.775,82.45,74,20,9.22
98,Ketchikan,US,2022-03-31 20:20:10,55.3422,-131.6461,44.58,75,100,10.36
99,Alice Springs,AU,2022-03-31 20:20:10,-23.7,133.8833,53.15,62,2,0.0
100,Varhaug,NO,2022-03-31 20:20:11,58.6147,5.6457,38.48,57,0,6.73
101,Hobart,AU,2022-03-31 20:16:29,-42.8794,147.3294,53.46,75,100,8.05
102,Marsh Harbour,BS,2022-03-31 20:20:12,26.5412,-77.0636,77.31,69,3,20.71
103,Port-Gentil,GA,2022-03-31 20:20:13,-0.7193,8.7815,81.64,81,100,8.39
104,Airai,TL,2022-03-31 20:20:14,-8.9266,125.4092,56.55,81,1,2.01
105,Berlevag,NO,2022-03-31 20:20:14,70.8578,29.0864,26.55,74,100,18.41
106,Mocuba,MZ,2022-03-31 20:20:15,-16.8392,36.9856,71.82,98,12,1.14
107,Bilibino,RU,2022-03-31 20:20:15,68.0546,166.4372,-16.29,96,88,1.41
108,Provideniya,RU,2022-03-31 20:20:16,64.3833,-173.3,19.42,82,79,18.84
109,Copiapo,CL,2022-03-31 20:16:42,-27.3667,-70.3333,62.29,34,0,7.81
110,Lebu,CL,2022-03-31 20:20:17,-37.6167,-73.65,56.05,66,96,21.77
111,Clyde River,CA,2022-03-31 20:20:18,70.4692,-68.5914,5.23,78,75,2.3
112,Edson,CA,2022-03-31 20:15:18,53.5835,-116.4356,39.34,48,75,19.57
113,Hithadhoo,MV,2022-03-31 20:20:19,-0.6,73.0833,82.6,72,4,6.89
114,Mount Gambier,AU,2022-03-31 20:20:19,-37.8333,140.7667,53.73,70,1,7.63
115,Puerto Ayora,EC,2022-03-31 20:20:20,-0.7393,-90.3518,82.36,75,99,4.88
116,Pangnirtung,CA,2022-03-31 20:20:22,66.1451,-65.7125,21.2,86,100,6.91
117,Adrar,MR,2022-03-31 20:20:23,20.5022,-10.0711,77.85,16,100,8.5
118,Eureka,US,2022-03-31 20:20:23,40.8021,-124.1637,63.75,66,99,11.99
119,Maneromango,TZ,2022-03-31 20:20:24,-7.1988,38.7848,69.62,98,70,3.27
120,Khonsa,IN,2022-03-31 20:20:24,27.0167,95.5667,61.07,96,100,2.24
121,Butaritari,KI,2022-03-31 20:20:25,3.0707,172.7902,80.67,80,29,14.7
122,Mendi,PG,2022-03-31 20:20:26,-6.1761,143.6513,55.71,99,100,0.69
123,Nicoya,CR,2022-03-31 20:20:26,10.1483,-85.452,96.46,32,100,4.5
124,Redcar,GB,2022-03-31 20:20:27,54.6166,-1.06,38.44,55,99,7.0
125,Narsaq,GL,2022-03-31 20:20:28,60.9167,-46.05,39.42,79,100,4.23
